instance_id,dialogue_id,turn_id,system_context,user_utterance,label,annotator_id,annotation_pass,notes
mw22_PMUL1791.json_18,PMUL1791.json,18,There are two hotels that meet your needs. I highly suggest the Cambridge Belfry. Yes there is public transportation.,Let's go with that. What's the address?,,adesanym,reannotation,
mw22_MUL0447.json_4,MUL0447.json,4,There are 6 trains available. What time would you like to depart?,"Departure time doesn't matter, I just want to arrive by 17:00 Monday.",,adesanym,reannotation,
mw22_SNG01399.json_4,SNG01399.json,4,"Addenbrookes Hospital is on Hills Rd, Cambridge and Postcode CB20QQ. The phone for that unit is 01223274222. Anything else?",I think that will do it. Thanks for the information.,,adesanym,reannotation,
mw22_PMUL2475.json_14,PMUL2475.json,14,Yes. Their phone number is 01223367755.,Great I also need a taxi that will leave the attraction by 16:15,,adesanym,reannotation,
mw22_MUL0200.json_4,MUL0200.json,4,"I'm sorry, but there are no restaurants that match your criteria. Would you care to broaden your search a bit?",What about Italian food?,,adesanym,reannotation,
mw22_MUL1216.json_4,MUL1216.json,4,Chiquito Restaurant Bar fits that criteria. Would you like to make a reservation?,"Yes, please. 7 people at 18:30 on tuesday.",,zajkeskn,reannotation,
mw22_SNG0013.json_6,SNG0013.json,6,Is there anything else I can do for you?,"No, thank you, I am all set.",,zajkeskn,reannotation,
mw22_PMUL0721.json_6,PMUL0721.json,6,I have 5 would you like m to recommend one?,"Yes, that would be great!",,zajkeskn,reannotation,
mw22_PMUL0048.json_6,PMUL0048.json,6,I found three Chinese restaurants that meet your requests. Would you like for me to book a table at one of them?,"Yes, what are my three choices before we make a reservation?",,zajkeskn,reannotation,
mw22_WOZ20548.json_6,WOZ20548.json,6,Their phone number is 01223 355166.,ok thank you good bye,,zajkeskn,reannotation,
mw22_PMUL2579.json_2,PMUL2579.json,2,"There are a number of attractions on the west side. Are you interested in colleges, entertainment or museums?","I don't really have a preference, so which one do you think is best?",,zajkeskn,reannotation,
mw22_MUL1728.json_12,MUL1728.json,12,Travel time is approximately 105 minutes.,That's all that I need.,,zajkeskn,reannotation,
mw22_MUL0702.json_8,MUL0702.json,8,Your travel time is 60 minutes. Is there anything else that I can do for you?,I'm also looking for a particular hotel - hobsons house. Can you help me with this?,,zajkeskn,reannotation,
mw22_MUL0188.json_18,MUL0188.json,18,"Great! I have a table for 6 people at 11:30 onSundar at Tandoori Palace, Reference Number 3BMGPAN3 . Is there anything else I can do for you?","No thank you, that is all I needed!",,zajkeskn,reannotation,
mw22_SNG1069.json_4,SNG1069.json,4,"I definitely recommend the Williams Art and Antiques. It's free to get in. They are located on Gwydir Street, No. 5 Dale's Brewery. The postcode is cb12lj.","Thanks so much, that sounds perfect.",,zajkeskn,reannotation,
mw22_MUL0125.json_16,MUL0125.json,16,"I'd be happy to help you book a taxi, what hotel is your destination?",Whatever hotel you booked me at. The reference number is: GXQZCBL8,,zajkeskn,reannotation,
mw22_PMUL2855.json_14,PMUL2855.json,14,"I recommend, the gallery at twelve a high street, their postal is cb15dh, any further questions?",I need also a taxi to leave the hotel by 2:30,,zajkeskn,reannotation,
mw22_PMUL3163.json_8,PMUL3163.json,8,I've booked a table for seven at yu garden. Your reservation is at 15:00 on Wednesday. Your reference number is 799F0AEG . Can I help you with anything else?,"Yes, I'll also need a taxi that will take me between the two places. I'll need to arrive at the restaurant by 15:00.",,zajkeskn,reannotation,
mw22_MUL1044.json_14,MUL1044.json,14,Is there anything else I can help you with?,"No, that was everything I needed. Thank You!",,zajkeskn,reannotation,
mw22_PMUL4574.json_14,PMUL4574.json,14,you are welcome all the time,okay goodbye,,zajkeskn,reannotation,
mw22_MUL1571.json_6,MUL1571.json,6,"Sure thing - just let me know where you're going, what day you're going there, and at what time.",The train should go to peterborough and should leave on monday after 10:30.,,zajkeskn,reannotation,
mw22_SNG01480.json_4,SNG01480.json,4,"Ok, I have a white honda for you with the contact number 07758153394. Anything else?",That is all I needed thank you.,,zajkeskn,reannotation,
mw22_WOZ20423.json_2,WOZ20423.json,2,I'm sorry but there are no swiss restaurants in town. Can i offer you something else?,How about vietnamese food?,,zajkeskn,reannotation,
mw22_PMUL0226.json_6,PMUL0226.json,6,I have made that reservation and your reference number is 0X0N3WV0 .,Thanks so much. Can you help me find a place to stay in that area as well?,,zajkeskn,reannotation,
mw22_MUL1284.json_4,MUL1284.json,4,"I found cheap guesthouses, is guesthouse what you are looking for?","I'd prefer a hotel, rather than a guesthouse.",,zajkeskn,reannotation,
mw22_PMUL3246.json_6,PMUL3246.json,6,Reference number is 29IN9CT3 for the acorn guesthouse.,I would also like to eat somewhere cheap in the middle of town.,,zajkeskn,reannotation,
mw22_MUL0041.json_6,MUL0041.json,6,"We have 3 that satisfy that criteria. A and B guest house, Carolina Bed and Breakfast, and Warkworth House all fit. Do you have a preference?",Carolina Bed and Breakfast sounds nice. Could I have it booked for 6 people for 4 nights starting on monday?,,zajkeskn,reannotation,
mw22_MUL0121.json_6,MUL0121.json,6,There are a few cheap restaurants in the center of the city. Would you like Asian Oriental or Chinese food?,I would like Chinese food.,,zajkeskn,reannotation,
mw22_PMUL4483.json_24,PMUL4483.json,24,"I was able to book your taxi. Be expecting a red Volkswagen. If you need to reach them, please call 07766667494.",thanks you very much,,zajkeskn,reannotation,
mw22_MUL0044.json_10,MUL0044.json,10,"Before we make your restaurant reservation, let's take care of the hotel. What day are you arriving, how many nights are you staying, and how many people?",It's just me. I am arriving Sunday and staying one night. Can you provide the phone number for the restaurant?,,zajkeskn,reannotation,
mw22_MUL0870.json_2,MUL0870.json,2,There are several attractions in the town centre. Are you looking for a particular type?,"Yes, please find any museums in the town centre.",,zajkeskn,reannotation,
mw22_MUL1298.json_4,MUL1298.json,4,Ok I have the Hobsons House on 96 barton road . Would you like me to book you a reservation ?,"Yes, that works. May i have the address?",,zajkeskn,reannotation,
mw22_PMUL4252.json_10,PMUL4252.json,10,I booked it for you. The reference number is TCBE0PUQ .,"Thank you, goodbye",,zajkeskn,reannotation,
mw22_PMUL0719.json_12,PMUL0719.json,12,The Ugly Duckling is located at 12 St. Johns Street City Centre and their postcode is cb21tw. Can I assist you with anything further?,"Thank you. I also want a train for friday, from broxbourne to cambridge",,zajkeskn,reannotation,
mw22_WOZ20463.json_4,WOZ20463.json,4,"I am sorry, there is no such restaurant match your request. Would you prefer another area or another type of food?",How about Chinese food on the east part of town?,,zajkeskn,reannotation,
mw22_PMUL3862.json_20,PMUL3862.json,20,Thank you for using our service!,Thank you for the help!,,zajkeskn,reannotation,
mw22_SSNG0074.json_4,SSNG0074.json,4,I have found a few British restaurants in your price range. Do you want a specific part of town?,"No, could you recommend me a place? I'm looking for to book a table for 2 on Thursday at 11:30.",,zajkeskn,reannotation,
mw22_MUL1765.json_10,MUL1765.json,10,I have 11 different museums. Might I suggest the Primavera. It just began displaying a new set of exhibits. Would you like more info on it?,"I need the phone number, postcode, and address.",,zajkeskn,reannotation,
mw22_PMUL0270.json_4,PMUL0270.json,4,"Chiquito restaurant and bar is in the south area, what time would you like me to book your 4 people for?",yes four people for Friday at 17:30,,zajkeskn,reannotation,
mw22_PMUL3874.json_8,PMUL3874.json,8,the cambridge belfry is in the cheap prise range would you like a booking?,Yes please.,,zajkeskn,reannotation,
mw22_MUL1168.json_4,MUL1168.json,4,Absolutely. There is no entrance fee for the Broughton House Gallery and the postcode is cb11ln.,Thank you! Are there any guesthouses nearby?,,zajkeskn,reannotation,
mw22_MUL2418.json_2,MUL2418.json,2,I'd be happy to help you with all things Cambridge. What can I help you find today?,"I'd like to find a restaurant called Cotto, please.",,zajkeskn,reannotation,
mw22_MUL1252.json_8,MUL1252.json,8,I have 2 guesthouse and 2 hotels in the centre. Do you have a preference or a price range in mind today?,A 2 star would be good. I don't care about price range.,,zajkeskn,reannotation,
mw22_PMUL2750.json_14,PMUL2750.json,14,"OKay, we have the gonville hotel in the centre and the lensfield hotel in the south.","Thanks, I just searched online for it, looks great, please book me for 8 people, 3 nights starting Tuesday.",,zajkeskn,reannotation,
mw22_SNG02276.json_2,SNG02276.json,2,There are 21 guesthouses and hotels in the area that are 4 stars and have free wifi. Do you have a preference for price range or location?,I would like one located in the east with a moderate price range.,,zajkeskn,reannotation,
mw22_SNG01943.json_10,SNG01943.json,10,The Allenbell is in the cheap price range. Do you want me to book it?,"No, that's all I need for today. Good bye.",,zajkeskn,reannotation,
mw22_SNG0602.json_6,SNG0602.json,6,"Yes, I would recommend the Peking Restaurant, located at 10 Homerton Street City Centre. Could I reserve a table for you?",Sounds great. Make a reservation for 4 on Friday at 11:00.,,zajkeskn,reannotation,
mw22_PMUL2253.json_8,PMUL2253.json,8,"I regret to inform you: there are sports attractions nearby of any kind, sorry.",Are there any museums nearby?,,zajkeskn,reannotation,
mw22_MUL1119.json_4,MUL1119.json,4,The Archway house matches all of your preferences. Would you like me to create a booking?,"Yes, that would be great. I would like my check-in to be on Saturday. I will be staying for 2 nights and there will be a total of 5 people.",,zajkeskn,reannotation,
mw22_MUL1400.json_18,MUL1400.json,18,Your welcome. Is there anything else I can do for you today?,"Thats all thank you for your help,goodbye",,zajkeskn,reannotation,
mw22_PMUL2792.json_18,PMUL2792.json,18,When do you need to leave?,"I need to leave Old Schools by 15:30, please.",,dhiraajd,reannotation,
mw22_PMUL2130.json_18,PMUL2130.json,18,"Ok in order to book a taxi I need the travel time, departure location and arrival destination.",Book taxi to go to taj tandoori restaurant. I need to arrive by 11:15 on Saturday.,,dhiraajd,reannotation,
mw22_PMUL3820.json_4,PMUL3820.json,4,"If you can't tell me what type of attractions you're looking for, I will pick the first option on the list: All Saint's Church in the centre, admission is free.","That's some recommendation. Can you at least tell me the phone number too, like I asked?",,dhiraajd,reannotation,
mw22_MUL0418.json_4,MUL0418.json,4,"Yes, TR4669 goes from peterborough to cambridge on Thursday. Would you like to book tickets on this train?",Yes I would like tickets for 2 people and the reference number please.,,dhiraajd,reannotation,
mw22_SSNG0317.json_2,SSNG0317.json,2,I have found the Warkworth House located in the East. It is 4 stars and is in the moderate price range. May I book it for you?,"Yes, please. I need a reservation for 5 nights starting Wednesday. There will be 4 people.",,dhiraajd,reannotation,
mw22_MUL1849.json_6,MUL1849.json,6,I would recommend architecture and there are many places to visit and see great architecture.,"Can I get the postcode, address of a great architecture place to visit please?",,dhiraajd,reannotation,
mw22_PMUL3089.json_4,PMUL3089.json,4,"There are 38 trains that can get you there, what time would you like to leave or arrive by?",i want to leave after 13:00,,dhiraajd,reannotation,
mw22_PMUL1357.json_12,PMUL1357.json,12,"TR7024 is the first train after 10:30 it leaves after 11:21, would you like me to book you?",That's fine I need 4 tix and the ref #,,dhiraajd,reannotation,
mw22_PMUL3494.json_10,PMUL3494.json,10,There are no expensive Italian places in the West. Is there another area I may check?,No just choose another type of expensive place to dine for me and book a table at 13:15 for 8 people from Monday.,,dhiraajd,reannotation,
mw22_MUL2162.json_4,MUL2162.json,4,I see several trains. When would you like to leave?,I need a price and make sure it arrives by 16:00.,,dhiraajd,reannotation,
mw22_SNG0925.json_8,SNG0925.json,8,Okay. You're booked. Your reference number is 3A23GV4H . Anything else?,That's all I needed. Thanks!,,dhiraajd,reannotation,
mw22_PMUL4115.json_2,PMUL4115.json,2,"Alright, how can I help you today?",I'd like a train from London Liverpool Street on Sunday,,dhiraajd,reannotation,
mw22_PMUL3664.json_2,PMUL3664.json,2,Ok.. where will you be departing from?,The train should depart from Ely and arrive at Cambridge.,,dhiraajd,reannotation,
mw22_PMUL0619.json_8,PMUL0619.json,8,"How many people would you like to reserve a table for? And, what time and day would you like to make the reservation?",for seven people on wednesday.,,dhiraajd,reannotation,
mw22_PMUL0003.json_2,PMUL0003.json,2,Do you know the name of it? I can try and find it for you.,The good luck Chinese takeaway.,,dhiraajd,reannotation,
mw22_SNG01841.json_2,SNG01841.json,2,Your looking at the trainID of TR5767 or TR2000 depending on your time,The train should go to stansted airport and should arrive by 21:30.,,dhiraajd,reannotation,
mw22_MUL1040.json_8,MUL1040.json,8,Your booking was a success! Your reference number is 49JMGAFP . Can I help you with anything else?,That's all I needed. Thank you!,,dhiraajd,reannotation,
mw22_PMUL2892.json_10,PMUL2892.json,10,Might I recommend the Autumn House. It is 4 star rated and just underwent remodeling. It is quite a place to stay. Can I reserve you a room?,Is that an actual hotel? I don't like guesthouses.,,dhiraajd,reannotation,
mw22_MUL0514.json_12,MUL0514.json,12,"Sure, Vue Cinema the phone number is 08712240240. I don't have the entrance fee information. And I do confirm that it is a Cinema type attraction.",Thank you for all your help today.,,dhiraajd,reannotation,
mw22_MUL0538.json_12,MUL0538.json,12,Trinity college has an entrance fee of 1 pound.,"Okay, that sounds good. Thank you for your help!",,dhiraajd,reannotation,
mw22_SSNG0022.json_8,SSNG0022.json,8,"There are no other Spanish places in that area, another area or type perhaps?","Any in the same area, and price range please.",,dhiraajd,reannotation,
mw22_PMUL2148.json_14,PMUL2148.json,14,"Ok! Their address is 191 Histon Road, Chesterton and the phone number is 01223350688.",Can you book me a table for 6 people at 18:45 on Saturday?,,dhiraajd,reannotation,
mw22_MUL0609.json_10,MUL0609.json,10,"They do indeed have parking and their location is 4 mowbray road. I can book this for you if you'd like, I just need to know details about your stay.","That's all the info I need about the guesthouse, but I also need to book a train leaving on Friday.",,dhiraajd,reannotation,
mw22_PMUL2950.json_2,PMUL2950.json,2,What price range and in what area?,"I don't care about price, but I'd like to stay in the south. I do like guesthouses better than hotels.",,dhiraajd,reannotation,
mw22_SNG01337.json_2,SNG01337.json,2,ow about Ashbury Lodge Guesthouse it is moderately priced and located at 82 Arbury Road CB4 2JE (Phone: 01223364319),Does this guesthouse include free wifi?,,dhiraajd,reannotation,
mw22_SNG0651.json_6,SNG0651.json,6,We are happy to help. Have all of your needs been met?,Indeed they have.,,dhiraajd,reannotation,
mw22_PMUL3786.json_16,PMUL3786.json,16,And how many people will be staying there?,1 person will be staying.,,dhiraajd,reannotation,
mw22_PMUL2316.json_4,PMUL2316.json,4,"Of course, one of my favorites is Fitzbillies Restaurant at 51 Trumpington Street City Centre. May I book you a table?","Yes, please. It'll be for 2 people on Saturday at 12:00.",,dhiraajd,reannotation,
mw22_PMUL1231.json_2,PMUL1231.json,2,Yes I can. Would you like the phone number or address?,"Yes, please. I need the area and phone number.",,dhiraajd,reannotation,
mw22_PMUL4111.json_10,PMUL4111.json,10,There are five options to choose from. I can recommend the restaurant cocum to you if you'd like,That sounds good. Can you reserve a table for 3 people at 16:45 on friday? And tell me my reference number,,dhiraajd,reannotation,
mw22_MUL1354.json_18,MUL1354.json,18,I have booked your ride. Your car type is a black Honda and your contact number is 07917232532. Is there anything else you need?,No that will be all thank you.,,dhiraajd,reannotation,
mw22_SSNG0097.json_6,SSNG0097.json,6,"Unfortunately, the restaurant is booked. Would you like to try another restaurant?","Yes. Something in the same area and same pricerange, please.",,dhiraajd,reannotation,
mw22_MUL0011.json_18,MUL0011.json,18,Non of the hotels were available for 2 nights starting on Friday. Would you prefer another date or area.,Can you book me a room for 1 night instead?,,dhiraajd,reannotation,
mw22_SNG0673.json_2,SNG0673.json,2,That is a great cheap restaurant located in the city centre. Would you like a reservation?,Yes please 2 people at 16:45 on tuesday,,dhiraajd,reannotation,
mw22_MUL0943.json_6,MUL0943.json,6,The entrance fee is free.,Free is the best price! I'll probably be hungry after the museum. Are there any moderately priced Italian restaurants around?,,dhiraajd,reannotation,
mw22_PMUL1722.json_14,PMUL1722.json,14,What would you like to know?,Does it have free wifi?,,dhiraajd,reannotation,
mw22_SNG02087.json_4,SNG02087.json,4,Which department are you looking for so I can give you the correct phone number?,I need the paediatric clinic please.,,dhiraajd,reannotation,
mw22_PMUL4411.json_8,PMUL4411.json,8,corpus christi is very popular. It is located in the town centre. The number is 01223338000. Can I help with anything else?,"That's all I needed to know, thanks for your help!",,dhiraajd,reannotation,
mw22_PMUL4217.json_12,PMUL4217.json,12,Ok. There are 14 in cambridge. Let's narrow that down a bit. Would you prefer a hotel or guesthouse?,Definitely a hotel.,,dhiraajd,reannotation,
mw22_MUL2012.json_4,MUL2012.json,4,"Okay. First, let's find out you're departing from.",I will be departing from stevenage and going to cambridge.,,dhiraajd,reannotation,
mw22_MUL2607.json_8,MUL2607.json,8,Alexander B & B has both free wifi and parking. It also has 4 stars! Would you like to make a booking there?,"Yes, please. For 6 people for 3 nights starting on tuesday",,dhiraajd,reannotation,
mw22_PMUL2477.json_10,PMUL2477.json,10,Sure the address is saint andrew's street and the phone number is 01223334900.,thank you for your help!,,dhiraajd,reannotation,
mw22_PMUL4586.json_8,PMUL4586.json,8,"The price per ticket is 60.08 pounds, how many travelers will be requiring tickets?",No tickets yet. But I do need info on a swimming pool in the north. I you could recommend one?,,dhiraajd,reannotation,
mw22_PMUL4713.json_18,PMUL4713.json,18,Your booking was successful. The reference number is PX6XVGSJ . Can I help with anything else today?,"Thank you, I would like to reserve a taxi around 22:45, Who can I contact and what type of car can I expect?",,dhiraajd,reannotation,
mw22_PMUL3039.json_6,PMUL3039.json,6,The autumn house is a cheap guesthouse located in postcode cb58rs. The phone number is: 01223575122. Are you sure I can't help you with a reservation?,No thank you. Could you tell me about Russian restaurants in the east?,,dhiraajd,reannotation,
