instance_id,dialogue_id,turn_id,system_context,user_utterance,label_option_a,annotator_a,annotation_pass_a,label_option_b,annotator_b,annotation_pass_b,recommended_label,rationale,status
mw22_MUL1252.json_8,MUL1252.json,8,I have 2 guesthouse and 2 hotels in the centre. Do you have a preference or a price range in mind today?,A 2 star would be good. I don't care about price range.,CORRECT_CLARIFY,adesanym,initial,INFORM_CONSTRAINT,zajkeskn,reannotation,INFORM_CONSTRAINT,Supplies star-rating and price-range preferences in response to the system's question.,owner_adjudicated_pending_team_ratification
mw22_MUL1728.json_12,MUL1728.json,12,Travel time is approximately 105 minutes.,That's all that I need.,CORRECT_CLARIFY,adesanym,initial,CONFIRM_ACCEPT,zajkeskn,reannotation,SOCIAL,Closes the exchange with no task-directed content after receiving the requested information.,owner_adjudicated_pending_team_ratification
mw22_PMUL0048.json_6,PMUL0048.json,6,I found three Chinese restaurants that meet your requests. Would you like for me to book a table at one of them?,"Yes, what are my three choices before we make a reservation?",CONFIRM_ACCEPT,adesanym,initial,CORRECT_CLARIFY,zajkeskn,reannotation,REQUEST,"Defers booking and asks to see the available options first, making the turn an information request.",owner_adjudicated_pending_team_ratification
mw22_PMUL2750.json_14,PMUL2750.json,14,"OKay, we have the gonville hotel in the centre and the lensfield hotel in the south.","Thanks, I just searched online for it, looks great, please book me for 8 people, 3 nights starting Tuesday.",CONFIRM_ACCEPT,adesanym,initial,REQUEST,zajkeskn,reannotation,CONFIRM_ACCEPT,"Accepts the hotel choice and proceeds with booking details, which fits the acceptance rule.",owner_adjudicated_pending_team_ratification
mw22_MUL1083.json_10,MUL1083.json,10,"The cherry hinton water play park is at cherry hinton hall, cherry hinton road, cb18dw, it is free to enter.Phone number 01223446100. Can I help you with anything else?",Yes I also need a taxi to commute between the two.,CONFIRM_ACCEPT,adesanym,reannotation,REQUEST,dhiraajd,initial,REQUEST,Begins a new taxi task and asks the system to arrange transport between locations.,owner_adjudicated_pending_team_ratification
mw22_MUL1543.json_6,MUL1543.json,6,I'm sorry. That time is unavailable as well.,Can you help me find a train going to Stevenage and leaving Thursday instead?,CORRECT_CLARIFY,adesanym,reannotation,REQUEST,dhiraajd,initial,CORRECT_CLARIFY,"Uses 'instead' to revise the failed train option, so correction outranks the new search request.",owner_adjudicated_pending_team_ratification
mw22_PMUL0373.json_20,PMUL0373.json,20,"I booked you at cityroomz your confirmation number is MM913RGM, anything else today?","Please have a taxi take me from my hotel to the restaurant, arriving in time for my reservation. And give me the booking info",CONFIRM_ACCEPT,adesanym,reannotation,REQUEST,dhiraajd,initial,REQUEST,Requests a taxi booking and asks for the booking information in the same turn.,owner_adjudicated_pending_team_ratification
mw22_MUL2397.json_12,MUL2397.json,12,How about Queen's College? It is on the west side of town. The phone number is 01223335511 and address is Silver Street.,Yes! I would also like to book a taxi.,CONFIRM_ACCEPT,adesanym,reannotation,REQUEST,dhiraajd,initial,REQUEST,Accepts the attraction information but then launches a new taxi-booking request.,owner_adjudicated_pending_team_ratification
mw22_PMUL2446.json_8,PMUL2446.json,8,"They is no phone information given, can I help with anything else?","Yes, i am looking for places to visit on the east side of town.",CONFIRM_ACCEPT,adesanym,reannotation,REQUEST,dhiraajd,initial,REQUEST,Starts a new attraction-search request for the east side of town.,owner_adjudicated_pending_team_ratification
mw22_SSNG0174.json_2,SSNG0174.json,2,I have 33 restaurants that meet that criteria. Is there a certain type of food you are looking for?,I want one that serves light bites.,CORRECT_CLARIFY,adesanym,reannotation,INFORM_CONSTRAINT,dhiraajd,initial,INFORM_CONSTRAINT,Answers the cuisine question by specifying a desired food type rather than correcting anything.,owner_adjudicated_pending_team_ratification
mw22_PMUL2993.json_2,PMUL2993.json,2,it is located in the east and 2 star rated. has both internet and parking. it is expensive. you can reach them on 01223866800.its postal code is cb13Ih located in 15-17 norman way coldharms business park,"I want to book 3 nights there, please.",CONFIRM_ACCEPT,adesanym,reannotation,REQUEST,dhiraajd,initial,CONFIRM_ACCEPT,Commits to the offered hotel with an explicit booking instruction for the selected place.,owner_adjudicated_pending_team_ratification
mw22_MUL0067.json_12,MUL0067.json,12,"Yes, I have found three restaurants matching your inquest.",I would like the one closest to the alexander bed and breakfast please.,REQUEST,adesanym,reannotation,INFORM_CONSTRAINT,dhiraajd,initial,REQUEST,Asks the system to pick the matching restaurant closest to a reference location.,owner_adjudicated_pending_team_ratification
mw22_SSNG0258.json_2,SSNG0258.json,2,"There are 32 hotels/guesthouses that offer free wifi, do you want to stay on a specific side of town, or a specific amenity you want?",I would like to be in the south and I prefer a guesthouse.,CORRECT_CLARIFY,adesanym,reannotation,INFORM_CONSTRAINT,dhiraajd,initial,INFORM_CONSTRAINT,Provides side-of-town and lodging-type preferences in direct response to the system's prompt.,owner_adjudicated_pending_team_ratification
mw22_PMUL4392.json_2,PMUL4392.json,2,Would you like to look into a hotel?,"uhm, no. that's your job, weirdo. also, i need a train.",CORRECT_CLARIFY,adesanym,reannotation,REQUEST,dhiraajd,initial,CORRECT_CLARIFY,"Explicitly rejects the hotel suggestion before adding a train request, so correction dominates.",owner_adjudicated_pending_team_ratification
mw22_PMUL1974.json_10,PMUL1974.json,10,How many tickets are you needing?,"I'm sorry, I just needed the train info. However, I need a place to stay in the North preferably with parking. Can you assist?",REQUEST,adesanym,reannotation,CORRECT_CLARIFY,dhiraajd,initial,CORRECT_CLARIFY,Corrects the system's assumption about needing tickets before moving to a hotel search.,owner_adjudicated_pending_team_ratification
mw22_WOZ20545.json_4,WOZ20545.json,4,"I'm sorry, there are no restaurants listed serving Christmas food. Would you like to try a different kind of food?",How about british food?,REQUEST,adesanym,reannotation,INFORM_CONSTRAINT,dhiraajd,initial,INFORM_CONSTRAINT,Responds to the fallback-food prompt by naming a new cuisine preference.,owner_adjudicated_pending_team_ratification
mw22_PMUL4625.json_4,PMUL4625.json,4,Castle Galleries is located in the centre of town and are free to enter.,"OK, that sounds great. I also need a train to get me to Cambridge.",CONFIRM_ACCEPT,adesanym,reannotation,REQUEST,dhiraajd,initial,REQUEST,Moves on from the attraction and asks for help with a new train task.,owner_adjudicated_pending_team_ratification
mw22_SNG01399.json_4,SNG01399.json,4,"Addenbrookes Hospital is on Hills Rd, Cambridge and Postcode CB20QQ. The phone for that unit is 01223274222. Anything else?",I think that will do it. Thanks for the information.,SOCIAL,adesanym,reannotation,CONFIRM_ACCEPT,dhiraajd,initial,SOCIAL,Closes the conversation with thanks and no remaining task content.,owner_adjudicated_pending_team_ratification
mw22_PMUL2475.json_14,PMUL2475.json,14,Yes. Their phone number is 01223367755.,Great I also need a taxi that will leave the attraction by 16:15,INFORM_CONSTRAINT,adesanym,reannotation,REQUEST,dhiraajd,initial,REQUEST,Asks for a taxi while also specifying a departure-time constraint for that taxi.,owner_adjudicated_pending_team_ratification
mw22_MUL0200.json_4,MUL0200.json,4,"I'm sorry, but there are no restaurants that match your criteria. Would you care to broaden your search a bit?",What about Italian food?,REQUEST,adesanym,reannotation,INFORM_CONSTRAINT,dhiraajd,initial,INFORM_CONSTRAINT,Provides a revised cuisine preference in response to the system's request to broaden the search.,owner_adjudicated_pending_team_ratification
mw22_PMUL3820.json_4,PMUL3820.json,4,"If you can't tell me what type of attractions you're looking for, I will pick the first option on the list: All Saint's Church in the centre, admission is free.","That's some recommendation. Can you at least tell me the phone number too, like I asked?",REQUEST,dhiraajd,reannotation,CORRECT_CLARIFY,zajkeskn,initial,CORRECT_CLARIFY,Calls out the missing phone-number request and asks the system to fix that omission.,owner_adjudicated_pending_team_ratification
mw22_MUL0418.json_4,MUL0418.json,4,"Yes, TR4669 goes from peterborough to cambridge on Thursday. Would you like to book tickets on this train?",Yes I would like tickets for 2 people and the reference number please.,CONFIRM_ACCEPT,dhiraajd,reannotation,REQUEST,zajkeskn,initial,CONFIRM_ACCEPT,Explicitly says yes to the booking proposal before providing ticket-count details.,owner_adjudicated_pending_team_ratification
mw22_PMUL1357.json_12,PMUL1357.json,12,"TR7024 is the first train after 10:30 it leaves after 11:21, would you like me to book you?",That's fine I need 4 tix and the ref #,CONFIRM_ACCEPT,dhiraajd,reannotation,REQUEST,zajkeskn,initial,CONFIRM_ACCEPT,Accepts the train offer and then supplies the passenger count needed to complete the booking.,owner_adjudicated_pending_team_ratification
mw22_PMUL3494.json_10,PMUL3494.json,10,There are no expensive Italian places in the West. Is there another area I may check?,No just choose another type of expensive place to dine for me and book a table at 13:15 for 8 people from Monday.,CORRECT_CLARIFY,dhiraajd,reannotation,REQUEST,zajkeskn,initial,CORRECT_CLARIFY,Rejects the area-change option and redirects the search to a different cuisine type instead.,owner_adjudicated_pending_team_ratification
mw22_MUL0538.json_12,MUL0538.json,12,Trinity college has an entrance fee of 1 pound.,"Okay, that sounds good. Thank you for your help!",SOCIAL,dhiraajd,reannotation,CONFIRM_ACCEPT,zajkeskn,initial,SOCIAL,Only acknowledges the attraction information and thanks the system for the help.,owner_adjudicated_pending_team_ratification
mw22_SSNG0022.json_8,SSNG0022.json,8,"There are no other Spanish places in that area, another area or type perhaps?","Any in the same area, and price range please.",REQUEST,dhiraajd,reannotation,INFORM_CONSTRAINT,zajkeskn,initial,REQUEST,Asks for another restaurant option that preserves the same area and price range.,owner_adjudicated_pending_team_ratification
mw22_PMUL4111.json_10,PMUL4111.json,10,There are five options to choose from. I can recommend the restaurant cocum to you if you'd like,That sounds good. Can you reserve a table for 3 people at 16:45 on friday? And tell me my reference number,REQUEST,dhiraajd,reannotation,CONFIRM_ACCEPT,zajkeskn,initial,CONFIRM_ACCEPT,Accepts the recommendation and asks the system to carry out the reservation.,owner_adjudicated_pending_team_ratification
mw22_SSNG0097.json_6,SSNG0097.json,6,"Unfortunately, the restaurant is booked. Would you like to try another restaurant?","Yes. Something in the same area and same pricerange, please.",REQUEST,dhiraajd,reannotation,INFORM_CONSTRAINT,zajkeskn,initial,REQUEST,Agrees to try another restaurant and requests one with the same area and price range.,owner_adjudicated_pending_team_ratification
mw22_MUL0011.json_18,MUL0011.json,18,Non of the hotels were available for 2 nights starting on Friday. Would you prefer another date or area.,Can you book me a room for 1 night instead?,REQUEST,dhiraajd,reannotation,CORRECT_CLARIFY,zajkeskn,initial,CORRECT_CLARIFY,"Revises the stay length from two nights to one night, which is a direct correction.",owner_adjudicated_pending_team_ratification
mw22_SNG0673.json_2,SNG0673.json,2,That is a great cheap restaurant located in the city centre. Would you like a reservation?,Yes please 2 people at 16:45 on tuesday,CONFIRM_ACCEPT,dhiraajd,reannotation,INFORM_CONSTRAINT,zajkeskn,initial,CONFIRM_ACCEPT,Explicitly accepts the reservation offer and supplies party size and time details.,owner_adjudicated_pending_team_ratification
